population	bin	mean_posterior	obs_frac_autozygous	n
EUR	0.0-0.1	0.062	0.181	293
EUR	0.2-0.3	0.256	0.027	257
EUR	0.3-0.4	0.363	0.042	240
EUR	0.4-0.5	0.452	0.018	166
EUR	0.5-0.6	0.564	0.075	161
EUR	0.6-0.7	0.646	0.065	418
EUR	0.7-0.8	0.756	0.087	218
EUR	0.8-0.9	0.849	0.116	267
EUR	0.9-1.0	0.990	0.771	977
AFR	0.0-0.1	0.062	0.408	206
AFR	0.2-0.3	0.236	0.033	30
AFR	0.3-0.4	0.367	0.000	13
AFR	0.4-0.5	0.422	0.051	79
AFR	0.5-0.6	0.539	0.167	12
AFR	0.6-0.7	0.652	0.063	126
AFR	0.7-0.8	0.752	0.150	220
AFR	0.8-0.9	0.854	0.186	226
AFR	0.9-1.0	0.991	0.839	983
