window_start	window_end	n_variants	mean_2pq	cMperMb	post_L1Mb	post_L2Mb	post_L3Mb	post_L5Mb	post_L7Mb	post_L10Mb	post_L15Mb
10000000	11000000	1807	0.04989	0.0000	0.02515	0.02515	0.02515	0.02515	0.02515	0.02515	0.02515
11000000	12000000	7593	0.04238	0.0000	0.02496	0.02496	0.02496	0.02496	0.02496	0.02496	0.02496
12000000	13000000	9211	0.04320	0.0000	0.02498	0.02498	0.02498	0.02498	0.02498	0.02498	0.02498
15000000	16000000	8345	0.05707	0.0000	0.02534	0.02534	0.02534	0.02534	0.02534	0.02534	0.02534
16000000	17000000	10702	0.11707	4.5695	0.07105	0.19268	0.42684	0.87880	0.98603	0.99953	1.00000
17000000	18000000	9110	0.11764	3.1122	0.05071	0.10428	0.20237	0.54649	0.85126	0.98340	0.99966
18000000	19000000	3675	0.08195	2.8324	0.03827	0.06066	0.09488	0.21640	0.42116	0.75677	0.97226
19000000	20000000	8092	0.10108	2.2745	0.03828	0.06071	0.09498	0.21675	0.42185	0.75752	0.97243
20000000	21000000	8727	0.10134	2.0566	0.03665	0.05575	0.08394	0.18079	0.34706	0.66520	0.94706
21000000	22000000	6274	0.08252	2.3885	0.03567	0.05287	0.07768	0.16092	0.30396	0.60008	0.92150
22000000	23000000	13424	0.09860	2.1728	0.03706	0.05698	0.08665	0.18954	0.36569	0.69053	0.95513
23000000	24000000	9376	0.11550	2.2170	0.04053	0.06785	0.11146	0.27140	0.52520	0.84986	0.98851
24000000	25000000	8146	0.08596	2.2022	0.03514	0.05133	0.07440	0.15068	0.28138	0.56216	0.90284
25000000	26000000	8530	0.10949	2.6419	0.04328	0.07705	0.13349	0.34410	0.64114	0.91822	0.99586
26000000	27000000	7748	0.12415	3.7063	0.06146	0.14889	0.31850	0.76933	0.95968	0.99780	0.99998
27000000	28000000	8155	0.11786	2.6523	0.04551	0.08486	0.15280	0.40556	0.72074	0.94997	0.99811
28000000	29000000	5601	0.06483	1.7217	0.02995	0.03744	0.04670	0.07212	0.10979	0.19774	0.43871
29000000	30000000	6762	0.10328	0.4358	0.02661	0.02879	0.03157	0.03793	0.04550	0.05962	0.09253
30000000	31000000	6643	0.10026	0.5264	0.02667	0.02971	0.03309	0.04100	0.05069	0.06938	0.11506
31000000	32000000	7065	0.07240	0.8518	0.02711	0.03070	0.03474	0.04443	0.05666	0.08105	0.14332
32000000	33000000	8915	0.11272	1.3057	0.03241	0.04378	0.05888	0.10462	0.17912	0.35770	0.72637
33000000	34000000	8249	0.10383	1.4180	0.03237	0.04366	0.05864	0.10394	0.17764	0.35439	0.72203
34000000	35000000	8417	0.12372	1.3841	0.03413	0.04846	0.06838	0.13232	0.24059	0.48684	0.85511
35000000	36000000	7436	0.10520	1.9520	0.03645	0.05517	0.08266	0.17670	0.33828	0.65268	0.94270
36000000	37000000	8962	0.10265	2.5013	0.04044	0.06756	0.11076	0.26907	0.52108	0.84682	0.98810
37000000	38000000	7777	0.10723	2.4215	0.04073	0.06851	0.11300	0.27653	0.53419	0.85632	0.98935
38000000	39000000	6865	0.10177	1.6568	0.03380	0.04755	0.06651	0.12672	0.22811	0.46206	0.83565
39000000	40000000	6560	0.10931	0.9625	0.02972	0.03687	0.04565	0.06950	0.10445	0.18539	0.40949
40000000	41000000	6167	0.07408	0.5868	0.02613	0.02853	0.03114	0.03708	0.04410	0.05704	0.08679
41000000	42000000	6708	0.08527	0.4100	0.02610	0.02759	0.02962	0.03412	0.03928	0.04844	0.06835
42000000	43000000	8426	0.11391	0.8984	0.02956	0.03648	0.04493	0.06773	0.10088	0.17718	0.38957
43000000	44000000	8251	0.11602	2.3388	0.04182	0.07210	0.12152	0.30482	0.58156	0.88691	0.99292
44000000	45000000	9920	0.12719	3.0157	0.05275	0.11229	0.22321	0.59723	0.88441	0.98897	0.99982
45000000	46000000	8362	0.12088	3.2635	0.05378	0.11642	0.23401	0.62152	0.89824	0.99099	0.99986
46000000	47000000	8917	0.10403	2.7235	0.04269	0.07503	0.12858	0.32808	0.61770	0.90677	0.99486
47000000	48000000	9029	0.11136	3.2843	0.05054	0.10363	0.20068	0.54214	0.84812	0.98282	0.99964
48000000	49000000	11499	0.12567	3.9719	0.06650	0.17153	0.37567	0.83559	0.97723	0.99905	1.00000
49000000	50000000	11485	0.10803	4.1405	0.05942	0.14003	0.29561	0.73598	0.94876	0.99686	0.99997
50000000	51000000	8194	0.09736	3.8215	0.05090	0.10500	0.20425	0.55127	0.85465	0.98402	0.99968
