window_start	window_end	n_agree	n_disagree	agree_frac
11250000	11500000	29	6	0.829
11500000	11750000	31	1	0.969
11750000	12000000	3	2	0.600
12000000	12250000	42	6	0.875
12250000	12500000	16	1	0.941
12500000	12750000	40	1	0.976
15000000	15250000	25	0	1.000
15250000	15500000	92	0	1.000
15500000	15750000	40	0	1.000
15750000	16000000	41	2	0.953
16000000	16250000	249	0	1.000
16250000	16500000	9	0	1.000
16500000	16750000	172	0	1.000
16750000	17000000	143	0	1.000
17000000	17250000	209	0	1.000
17250000	17500000	253	0	1.000
17500000	17750000	370	0	1.000
17750000	18000000	326	0	1.000
18000000	18250000	128	0	1.000
18250000	18500000	2	0	1.000
18500000	18750000	9	4	0.692
18750000	19000000	121	0	1.000
19000000	19250000	321	0	1.000
19250000	19500000	147	0	1.000
19500000	19750000	209	0	1.000
19750000	20000000	224	0	1.000
20000000	20250000	203	0	1.000
20250000	20500000	127	1	0.992
20500000	20750000	326	0	1.000
20750000	21000000	338	0	1.000
21000000	21250000	179	2	0.989
21250000	21500000	27	1	0.964
21500000	21750000	208	0	1.000
21750000	22000000	189	0	1.000
22000000	22250000	117	8	0.936
22250000	22500000	3	1	0.750
22500000	22750000	5	0	1.000
22750000	23000000	53	1	0.981
23000000	23250000	252	0	1.000
23250000	23500000	124	0	1.000
23500000	23750000	217	0	1.000
23750000	24000000	174	0	1.000
24000000	24250000	194	0	1.000
24250000	24500000	162	0	1.000
24500000	24750000	107	0	1.000
24750000	25000000	330	0	1.000
25000000	25250000	307	0	1.000
25250000	25500000	205	0	1.000
25500000	25750000	147	0	1.000
25750000	26000000	237	0	1.000
26000000	26250000	78	0	1.000
26250000	26500000	285	0	1.000
26500000	26750000	241	0	1.000
26750000	27000000	306	1	0.997
27000000	27250000	340	0	1.000
27250000	27500000	344	0	1.000
27500000	27750000	324	1	0.997
27750000	28000000	96	0	1.000
28000000	28250000	53	0	1.000
28250000	28500000	88	0	1.000
28500000	28750000	102	0	1.000
28750000	29000000	7	0	1.000
29000000	29250000	11	0	1.000
29250000	29500000	127	0	1.000
29500000	29750000	266	0	1.000
29750000	30000000	218	0	1.000
30000000	30250000	117	0	1.000
30250000	30500000	258	0	1.000
30500000	30750000	218	0	1.000
30750000	31000000	124	0	1.000
31000000	31250000	195	0	1.000
31250000	31500000	143	0	1.000
31500000	31750000	345	0	1.000
31750000	32000000	96	0	1.000
32000000	32250000	170	0	1.000
32250000	32500000	479	0	1.000
32500000	32750000	229	0	1.000
32750000	33000000	292	0	1.000
33000000	33250000	274	0	1.000
33250000	33500000	90	0	1.000
33500000	33750000	111	0	1.000
33750000	34000000	249	0	1.000
34000000	34250000	313	0	1.000
34250000	34500000	417	0	1.000
34500000	34750000	426	0	1.000
34750000	35000000	241	0	1.000
35000000	35250000	420	1	0.998
35250000	35500000	219	0	1.000
35500000	35750000	246	0	1.000
35750000	36000000	19	0	1.000
36000000	36250000	212	0	1.000
36250000	36500000	286	0	1.000
36500000	36750000	163	0	1.000
36750000	37000000	245	0	1.000
37000000	37250000	358	0	1.000
37250000	37500000	177	0	1.000
37500000	37750000	214	0	1.000
37750000	38000000	193	0	1.000
38000000	38250000	218	0	1.000
38250000	38500000	151	0	1.000
38500000	38750000	17	0	1.000
38750000	39000000	96	0	1.000
39000000	39250000	392	0	1.000
39250000	39500000	275	0	1.000
39500000	39750000	127	0	1.000
39750000	40000000	83	0	1.000
40000000	40250000	73	0	1.000
40250000	40500000	179	0	1.000
40500000	40750000	215	0	1.000
40750000	41000000	80	0	1.000
41000000	41250000	263	0	1.000
41250000	41500000	269	0	1.000
41500000	41750000	241	0	1.000
41750000	42000000	217	0	1.000
42000000	42250000	250	0	1.000
42250000	42500000	175	0	1.000
42500000	42750000	378	0	1.000
42750000	43000000	415	0	1.000
43000000	43250000	342	0	1.000
43250000	43500000	173	0	1.000
43500000	43750000	259	0	1.000
43750000	44000000	287	0	1.000
44000000	44250000	256	0	1.000
44250000	44500000	203	2	0.990
44500000	44750000	388	0	1.000
44750000	45000000	279	0	1.000
45000000	45250000	63	0	1.000
45250000	45500000	70	0	1.000
45500000	45750000	86	0	1.000
45750000	46000000	169	0	1.000
46000000	46250000	109	0	1.000
46250000	46500000	227	0	1.000
46500000	46750000	332	0	1.000
46750000	47000000	312	0	1.000
47000000	47250000	313	0	1.000
47250000	47500000	321	0	1.000
47500000	47750000	135	0	1.000
47750000	48000000	243	0	1.000
48000000	48250000	170	0	1.000
48250000	48500000	390	2	0.995
48500000	48750000	308	0	1.000
48750000	49000000	388	0	1.000
49000000	49250000	456	0	1.000
49250000	49500000	335	1	0.997
49500000	49750000	306	0	1.000
49750000	50000000	414	0	1.000
50000000	50250000	221	0	1.000
50250000	50500000	195	0	1.000
50500000	50750000	268	0	1.000
50750000	51000000	39	0	1.000
