platform	pop	n_children	n_outliers	n_screened	L_screened_Mb	L_all_Mb	density_SNPs_per_Mb
WGS_full	EUR	103	34	69	1.55	1.75	2182
WGS_full	AFR	196	13	183	1.65	1.90	3071
WGS_full	EAS	70	21	49	1.55	1.75	2015
WGS_full	SAS	82	32	50	1.60	7.75	2234
WGS_full	AMR	137	93	44	1.65	2.80	2243
thin_1/2	EUR	103	102	1	1.95	2.40	1091
thin_1/2	AFR	196	50	146	2.05	2.65	1536
thin_1/2	EAS	70	69	1	1.50	2.35	1008
thin_1/2	SAS	82	73	9	1.75	11.85	1117
thin_1/2	AMR	137	133	4	2.00	3.95	1122
thin_1/5	EUR	103	103	0	nan	3.00	436
thin_1/5	AFR	196	160	36	2.15	3.30	614
thin_1/5	EAS	70	70	0	nan	3.30	403
thin_1/5	SAS	82	82	0	nan	inf	447
thin_1/5	AMR	137	137	0	nan	4.50	449
thin_1/10	EUR	103	103	0	nan	2.95	218
thin_1/10	AFR	196	195	1	2.80	3.60	307
thin_1/10	EAS	70	70	0	nan	4.05	202
thin_1/10	SAS	82	82	0	nan	inf	223
thin_1/10	AMR	137	137	0	nan	5.00	224
thin_1/20	EUR	103	103	0	nan	2.90	109
thin_1/20	AFR	196	196	0	nan	4.10	154
thin_1/20	EAS	70	70	0	nan	3.80	101
thin_1/20	SAS	82	82	0	nan	inf	112
thin_1/20	AMR	137	137	0	nan	4.90	112
CytoSNP-850K-class	EUR	103	103	0	nan	2.10	280
CytoSNP-850K-class	AFR	196	17	179	1.50	2.05	280
CytoSNP-850K-class	EAS	70	70	0	nan	2.05	280
CytoSNP-850K-class	SAS	82	81	1	1.20	inf	280
CytoSNP-850K-class	AMR	137	137	0	nan	3.65	280
CytoScan-HD-class	EUR	103	103	0	nan	2.15	200
CytoScan-HD-class	AFR	196	24	172	1.45	2.00	200
CytoScan-HD-class	EAS	70	70	0	nan	2.25	200
CytoScan-HD-class	SAS	82	82	0	nan	inf	200
CytoScan-HD-class	AMR	137	137	0	nan	3.90	200
250K-class	EUR	103	103	0	nan	2.20	100
250K-class	AFR	196	116	80	1.50	2.25	100
250K-class	EAS	70	70	0	nan	2.45	100
250K-class	SAS	82	82	0	nan	inf	100
250K-class	AMR	137	137	0	nan	3.85	100
Random-300/Mb	EUR	103	103	0	nan	2.85	300
Random-300/Mb	AFR	196	191	5	2.00	3.05	300
Random-300/Mb	EAS	70	70	0	nan	3.50	300
Random-300/Mb	SAS	82	82	0	nan	inf	300
Random-300/Mb	AMR	137	137	0	nan	4.95	300
