set	pop	n_cases	floor_Mb	roh_median	roh_q25	roh_q75	roh_mean	roh_max	mb_median	mb_q75	genes_median	genes_q75
screened	EUR	69	1.6	5	4	7	5.61	10	11.79	14.66	83	103
screened	EUR	69	5.0	0	0	0	0.03	1	0.00	0.00	0	0
screened	EUR	69	10.0	0	0	0	0.00	0	0.00	0.00	0	0
screened	AFR	183	1.6	6	4	7	5.66	12	12.62	16.04	88	112
screened	AFR	183	5.0	0	0	0	0.08	2	0.00	0.00	0	0
screened	AFR	183	10.0	0	0	0	0.00	0	0.00	0.00	0	0
screened	EAS	49	1.6	7	5	7	6.47	11	14.14	15.85	99	111
screened	EAS	49	5.0	0	0	0	0.06	1	0.00	0.00	0	0
screened	EAS	49	10.0	0	0	0	0.00	0	0.00	0.00	0	0
screened	SAS	50	1.6	6	5	8	6.54	13	12.49	16.81	87	118
screened	SAS	50	5.0	0	0	0	0.04	1	0.00	0.00	0	0
screened	SAS	50	10.0	0	0	0	0.00	0	0.00	0.00	0	0
screened	AMR	44	1.6	7	6	8	6.59	9	14.92	17.20	104	120
screened	AMR	44	5.0	0	0	0	0.05	1	0.00	0.00	0	0
screened	AMR	44	10.0	0	0	0	0.02	1	0.00	0.00	0	0
screened	POOLED	395	1.6	6	4	7	5.96	13	12.90	16.37	90	115
screened	POOLED	395	5.0	0	0	0	0.06	2	0.00	0.00	0	0
screened	POOLED	395	10.0	0	0	0	0.00	1	0.00	0.00	0	0
all	EUR	103	1.6	6	4	8	6.31	12	13.29	17.89	93	125
all	EUR	103	5.0	0	0	0	0.11	3	0.00	0.00	0	0
all	EUR	103	10.0	0	0	0	0.03	2	0.00	0.00	0	0
all	AFR	196	1.6	6	4	7	6.10	20	13.14	17.28	92	121
all	AFR	196	5.0	0	0	0	0.22	6	0.00	0.00	0	0
all	AFR	196	10.0	0	0	0	0.03	2	0.00	0.00	0	0
all	EAS	70	1.6	7	6	8	7.07	26	14.78	16.93	103	119
all	EAS	70	5.0	0	0	0	0.13	6	0.00	0.00	0	0
all	EAS	70	10.0	0	0	0	0.03	2	0.00	0.00	0	0
all	SAS	82	1.6	8	6	13	12.09	70	17.46	34.97	122	245
all	SAS	82	5.0	0	0	1	1.57	25	0.00	6.89	0	48
all	SAS	82	10.0	0	0	0	0.51	12	0.00	0.00	0	0
all	AMR	137	1.6	9	7	12	9.69	37	22.18	28.44	155	199
all	AMR	137	5.0	0	0	1	0.53	13	0.00	5.01	0	35
all	AMR	137	10.0	0	0	0	0.09	2	0.00	0.00	0	0
all	POOLED	588	1.6	7	5	9	7.92	70	15.20	20.87	106	146
all	POOLED	588	5.0	0	0	0	0.45	25	0.00	0.00	0	0
all	POOLED	588	10.0	0	0	0	0.11	12	0.00	0.00	0	0
