subpop	child_idx	ROH_ge1Mb_Mb	span_Mb	F_ROH	flag
PJL	0	34.15	2808.7	0.01216	ok
PJL	1	45.37	2808.7	0.01615	outlier
PJL	2	33.94	2808.7	0.01208	ok
PJL	3	21.6	2808.7	0.00769	ok
PJL	4	105.55	2808.7	0.03758	outlier
PJL	5	43.23	2808.7	0.01539	ok
PJL	6	91.04	2808.7	0.03241	outlier
PJL	7	281.26	2808.7	0.10014	outlier
PJL	8	55.96	2808.7	0.01993	outlier
PJL	9	321.98	2808.7	0.11464	outlier
PJL	10	122.7	2808.7	0.04369	outlier
PJL	11	86.87	2808.7	0.03093	outlier
PJL	12	281.56	2808.7	0.10025	outlier
PJL	13	44.21	2808.7	0.01574	outlier
PJL	14	373.25	2808.7	0.13289	outlier
PJL	15	54.21	2808.7	0.0193	outlier
PJL	16	70.91	2808.7	0.02525	outlier
PJL	17	28.07	2808.7	0.00999	ok
PJL	18	121.75	2808.7	0.04335	outlier
PJL	19	43.75	2808.7	0.01558	ok
PJL	20	64.27	2808.7	0.02288	outlier
PJL	21	91.31	2808.7	0.03251	outlier
PJL	22	76.0	2808.7	0.02706	outlier
PJL	23	57.83	2808.7	0.02059	outlier
PJL	24	58.88	2808.7	0.02096	outlier
PJL	25	255.43	2808.7	0.09094	outlier
PJL	26	69.98	2808.7	0.02492	outlier
PJL	27	42.47	2808.7	0.01512	ok
PJL	28	36.43	2808.7	0.01297	ok
PJL	29	30.27	2808.7	0.01078	ok
PJL	30	40.5	2808.7	0.01442	ok
PJL	31	40.06	2808.7	0.01426	ok
PJL	32	40.15	2808.7	0.01429	ok
PJL	33	79.21	2808.7	0.0282	outlier
PJL	34	32.01	2808.7	0.0114	ok
PJL	35	39.34	2808.7	0.01401	ok
PJL	36	33.57	2808.7	0.01195	ok
PJL	37	42.76	2808.7	0.01523	ok
PJL	38	75.71	2808.7	0.02695	outlier
PJL	39	37.73	2808.7	0.01343	ok
PJL	40	61.84	2808.7	0.02202	outlier
STU	0	35.9	2808.7	0.01278	ok
STU	1	36.44	2808.7	0.01297	ok
STU	2	34.63	2808.7	0.01233	ok
STU	3	51.02	2808.7	0.01817	outlier
STU	4	101.16	2808.7	0.03602	outlier
STU	5	74.57	2808.7	0.02655	outlier
STU	6	35.42	2808.7	0.01261	ok
STU	7	33.33	2808.7	0.01187	ok
STU	8	35.98	2808.7	0.01281	ok
STU	9	28.58	2808.7	0.01018	ok
BEB	0	31.47	2808.7	0.01121	ok
BEB	1	25.78	2808.7	0.00918	ok
BEB	2	42.03	2808.7	0.01496	ok
BEB	3	29.15	2808.7	0.01038	ok
BEB	4	35.9	2808.7	0.01278	ok
BEB	5	27.89	2808.7	0.00993	ok
BEB	6	56.01	2808.7	0.01994	outlier
BEB	7	21.76	2808.7	0.00775	ok
BEB	8	48.1	2808.7	0.01713	outlier
BEB	9	30.2	2808.7	0.01075	ok
BEB	10	34.47	2808.7	0.01227	ok
BEB	11	38.05	2808.7	0.01355	ok
BEB	12	35.68	2808.7	0.0127	ok
BEB	13	33.42	2808.7	0.0119	ok
BEB	14	41.04	2808.7	0.01461	ok
BEB	15	25.21	2808.7	0.00898	ok
BEB	16	37.54	2808.7	0.01336	ok
BEB	17	23.7	2808.7	0.00844	ok
BEB	18	46.27	2808.7	0.01647	outlier
BEB	19	36.56	2808.7	0.01302	ok
BEB	20	31.54	2808.7	0.01123	ok
BEB	21	37.55	2808.7	0.01337	ok
BEB	22	36.45	2808.7	0.01298	ok
BEB	23	30.29	2808.7	0.01078	ok
BEB	24	43.66	2808.7	0.01554	ok
BEB	25	26.75	2808.7	0.00952	ok
BEB	26	35.69	2808.7	0.01271	ok
BEB	27	35.05	2808.7	0.01248	ok
ITU	0	37.15	2808.7	0.01323	ok
ITU	1	44.17	2808.7	0.01573	outlier
ITU	2	80.09	2808.7	0.02851	outlier
